[2024-02-29 00:40:17.411956] — department edit: old - Dkz INC; new - FuTu
[2024-02-29 00:40:17.412238] — position edit: old - editor; new - member
[2024-03-12 10:38:28.455688] — department edit: old - HR; new - Finance
[2024-03-12 10:38:28.460487] — position edit: old - Assistant; new - Manager
[2024-03-12 10:59:54.569393] — department edit: old - HR; new - Finance
[2024-03-12 10:59:54.570187] — position edit: old - Assistant; new - Manager
[2024-03-12 11:01:00.588671] — department edit: old - HR; new - Finance
[2024-03-12 11:01:00.589136] — position edit: old - Assistant; new - Manager
[2024-03-12 11:03:32.375044] — department edit: old - HR; new - Finance
[2024-03-12 11:03:32.375685] — position edit: old - Assistant; new - Manager
[2024-03-12 11:04:10.832486] — department edit: old - HR; new - Finance
[2024-03-12 11:04:10.833544] — position edit: old - Assistant; new - Manager
[2024-03-12 11:14:12.122012] — department edit: old - HR; new - Finance
[2024-03-12 11:14:12.122628] — position edit: old - Assistant; new - Manager
[2024-03-12 13:07:30.146096] — department edit: old - HR; new - Finance
[2024-03-12 13:07:30.146812] — position edit: old - Assistant; new - Manager
[2024-03-26 10:16:02.190987] — department edit: old - HR; new - Finance
[2024-03-26 10:16:02.191786] — position edit: old - Assistant; new - Manager
[2024-03-26 10:19:46.556938] — department edit: old - HR; new - Finance
[2024-03-26 10:19:46.558192] — position edit: old - Assistant; new - Manager
[2024-03-26 10:20:15.231299] — department edit: old - HR; new - Finance
[2024-03-26 10:20:15.231909] — position edit: old - Assistant; new - Manager
[2024-03-26 10:20:26.508828] — department edit: old - HR; new - Finance
[2024-03-26 10:20:26.509359] — position edit: old - Assistant; new - Manager
[2024-03-26 10:21:45.502796] — department edit: old - HR; new - Finance
[2024-03-26 10:21:45.503615] — position edit: old - Assistant; new - Manager
[2024-03-26 10:48:16.346555] — department edit: old - HR; new - Finance
[2024-03-26 10:48:16.347320] — position edit: old - Assistant; new - Manager
